Titulo,Estreno,Pais,Idiomas,Direccion,Nota,Productoras,Clasificacion,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Premios,Sinopsis,Genero1,Genero2,Duracion
La marcha verde,2002,España,Español,José Luis García Sánchez,3.3,Lionsgate Films,NR,Fedra Lorente, Álvaro de Luna, Pepón Nieto, Inma del Moral, Antonio Gamero, José María Sacristán,Mejor Actor Principal,Ut tellus. Nulla ut erat id mauris vulputate elementum.,Comedia,,
Un día sin fin,2004,Italia,Italiano,Giulio Manfredonia,4.9,Miramax,PG-13,Antonio Albanese, Fabio De Luigi, Goya Toledo, Pepón Nieto, Asunción Balaguer, Beatriz Rico,Mejor Película,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Comedia,,
La mujer de negro,2012,Reino Unido,Ingles,James Watkins,5.5,Universal Pictures,PG-13,Daniel Radcliffe, Ciarán Hinds, Roger Allam, Sophie Stuckey, Jessica Raine, Janet McTeer,,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",Drama, Terror,90
Mi gran boda griega,2002,Estados Unidos,Ingles,Joel Zwick,5.6,Miramax,NC-17,Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan, Andrea Martin, Joey Fatone,,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Comedia, Romance,
The Killing Room,2009,Estados Unidos,Ingles,Jonathan Liebesman,5.2,Summit Entertainment,R,Timothy Hutton, Peter Stormare, Chloë Sevigny, Nick Cannon, Shea Whigham, Clea Duvall,Mejor Guión,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",Drama, Intriga,90
Hipócrates,2014,Francia,Frances,Thomas Lilti,6,Columbia Pictures,G,Vincent Lacoste, Reda Kateb, Félix Moati, Jacques Gamblin, Marianne Denicourt, Carole Franck,Mejor Película,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Drama,,120
El perdido,2016,España,Español,Christophe Farnarier,6.1,Miramax,A,Adri Miserachs,,,,,,,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Aventuras,,120
Leones,2012,Argentina,Español,Jazmín López,4.7,Relativity Media,R,Pablo Sigal, Diego Vegezzi, Julia Volpato, Macarena del Corro, Tomas Mackinlay,,Mejor Director,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Intriga,,120
Antwone Fisher,2002,Estados Unidos,Ingles,Denzel Washington,6.5,Summit Entertainment,G,Denzel Washington, Derek Luke, Joy Bryant, Salli Richardson-Whitfield, Earl Billings, Kevin Connolly,Mejor Banda Sonora Original,In quis justo. Maecenas rhoncus aliquam lacus.,Drama,,90
The Other Half,2016,Canadá,Ingles,Joey Klein,5,Village Roadshow Pictures,MA,Tatiana Maslany, Tom Cullen, Mark Rendall, Henry Czerny, Suzanne Clément, Deragh Campbell,,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Romance,,60
À ma soeur!,2001,Francia,Frances,Catherine Breillat,5.9,Screen Gems,PG,Anaïs Reboux, Roxane Mesquida, Libero De Rienzo, Arsinée Khanjian, Romain Goupil, Laura Betti,,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.",Drama,,
Poder mental,2015,Estados Unidos,Ingles,Joe Begos,3.8,Miramax,A,Graham Skipper, Lauren Ashley Carter, John Speredakos, Larry Fessenden, Noah Segan, Matt Mercer,,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",Acción, Ciencia ficción,90
High-Rise,2015,Reino Unido,Ingles,Ben Wheatley,5,Miramax,MA,Tom Hiddleston, Sienna Miller, Jeremy Irons, Luke Evans, Elisabeth Moss, James Purefoy,Mejor Actor de Reparto,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,Ciencia ficción, Thriller,90
Novatos,2015,España,Español,Pablo Aragüés,4.1,DreamWorks Pictures,NC-17,Nicolás Coronado, Lucía Ramos, Javier Butler, Alejandra Onieva, Jorge Usón, Marta Larralde,Mejor Actriz Principal,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,Drama,,120
Carolina,2003,Estados Unidos,Ingles,Marleen Gorris,5.2,20th Century Studios,NR,Julia Stiles, Shirley MacLaine, Alessandro Nivola, Edward Atterton, Azura Skye, Randy Quaid,Mejor Director,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Comedia, Romance,90
La promesa,2004,España,Español,Héctor Carré,4.9,Paramount Pictures,PG,Carmen Maura, Ana Fernández, Chete Lera, Juan Margallo, Santiago Barón, Evaristo Calvo,,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",Drama,,90
El ejercicio del poder,2011,Francia,Frances,Pierre Schoeller,6.3,Miramax,NR,Olivier Gourmet, Michel Blanc, Zabou Breitman, Laurent Stocker, Sylvain Deblé, Didier Bezace,,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.,Drama,,90
Django: la otra cara,2002,Perú,Español,Ricardo Velásquez,4.2,Miramax,R,Giovanni Ciccia, Melania Urbina, Sergio Galliani, Tatiana Astengo, Miguel Iza, Renzo Schuller,Mejor Diseño de Producción,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",Acción, Intriga,60
Locked Up (Gefangen),2004,Alemania,Aleman,Jörg Andreas,4.5,Paramount Pictures,NR,Marcel Schlutt, Mike Sale, Ralph Steel, Andreas Bernhardt, Michael Busch, Fred Faurtin,Mejor Actriz de Reparto,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",Romance,,60
Los mercenarios 2,2012,Estados Unidos,Ingles,Simon West,5.9,Miramax,A,Sylvester Stallone, Jason Statham, Dolph Lundgren, Randy Couture, Jean-Claude Van Damme, Bruce Willis,Mejor Fotografía,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",Acción,,
Paraíso: Amor,2012,Austria,Aleman,Ulrich Seidl,6.8,Columbia TriStar Motion Picture Group,G,Margarete Tiesel, Inge Maux, Peter Kazungu, Gabriel Mwarua, Carlos Mkutano,,,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",Drama,,120
El fotógrafo de Mauthausen,2018,España,Español,Mar Targarona,5.8,Toho Company,R,Mario Casas, Richard van Weyden, Alain Hernández, Adrià Salazar, Stefan Weinert, Macarena Gómez,Mejor Guión,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Thriller,,
Juego sucio (Infernal Affairs),2002,Hong Kong,Chino,"Andrew Lau, Alan Mak",7.5,20th Century Studios,PG,Tony Leung Chiu-Wai, Andy Lau, Eric Tsang, Kelly Chen, Sammi Cheng, Edison Chen,Mejor Banda Sonora Original,Sed accumsan felis. Ut at dolor quis odio consequat varius.,Intriga, Thriller,60
El mago del gore,2007,Canadá,Ingles,Jeremy Kasten,3.7,Miramax,PG,Crispin Glover, Kip Pardue, Bijou Phillips, Jeffrey Combs, Joshua John Miller, Brad Dourif,,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,Intriga, Terror,90
La suerte de Emma,2006,Alemania,Aleman,Sven Taddicken,6.9,20th Century Studios,PG-13,Jördis Triebel, Jürgen Vogel, Hinnerk Schönemann, Martin Feifel, Sebastian Rüger, Nina Petri,Mejor Película,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Drama, Romance,60
Marie-Jo y sus dos amores,2002,Francia,Frances,Robert Guédiguian,6.7,Universal Pictures,G,Ariane Ascaride, Jean-Pierre Darroussin, Gérard Meylan, Julie-Marie Parmentier, Jacques Boudet, Frédérique Bonnal,,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,Drama, Romance,90
Testigo presencial,2015,Estados Unidos,Ingles,Fred Olen Ray,2.7,Working Title Films,G,Brigid Brannagh, Ivan Sergei, Tim Abell, Leah Bateman, Daniel Booko, Perry King,Mejor Actriz Principal,Suspendisse potenti. Nullam porttitor lacus at turpis.,Aventuras,,
Star Wars: El despertar de la Fuerza,2015,Estados Unidos,Ingles,J.J. Abrams,6.8,Walt Disney Pictures,R,Daisy Ridley, John Boyega, Harrison Ford, Adam Driver, Oscar Isaac, Carrie Fisher,,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",Aventuras, Ciencia ficción,60
Red Road,2006,Reino Unido,Ingles,Andrea Arnold,6.5,Sony Pictures Entertainment,PG,Kate Dickie, Tony Curran, Martin Compston, Natalie Press, Andrew Armour, Carolyn Calder,,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Drama, Intriga,120
Una paloma se posó en una rama a reflexionar sobre la existencia,2014,Suecia,,Roy Andersson,6.1,Walt Disney Pictures,NC-17,Holger Andersson, Nils Westblom, Charlotta Larsson, Viktor Gyllenberg, Lotti Törnros, Jonas Gerholm,Mejor Diseño de Vestuario,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Drama, Comedia,
Feed,2005,Australia,Ingles,Brett Leonard,4.6,Paramount Pictures,R,Alex O'Loughlin, Jack Thompson, Gabby Millgate, Patrick Thompson,,,Mejor Edición,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",Thriller,,
Últimos días en el desierto,2015,Estados Unidos,Ingles,Rodrigo García,5.2,Miramax,PG-13,Ewan McGregor, Tye Sheridan, Ayelet Zurer, Ciarán Hinds, Susan Gray,,,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Drama,,
Escalofríos,2007,Estados Unidos,Ingles,Gregory Jacobs,4.3,20th Century Studios,NR,Emily Blunt, Ashton Holmes, Martin Donovan, Ned Bellamy, Chelan Simmons, Ian Wallace,,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",Terror, Thriller,60
Election: La noche de las bestias,2016,Estados Unidos,Ingles,James DeMonaco,5.2,DreamWorks Pictures,PG-13,Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Edwin Hodge, Kyle Secor, Joseph Julian Soria,Mejor Diseño de Vestuario,In congue. Etiam justo. Etiam pretium iaculis justo.,Acción, Terror,60
La noche del lobo,2008,Noruega,,Kjell Sundvall,4.7,Miramax,PG-13,Anneke von der Lippe, Dejan Cukic, Jorgen Langhelle, Christian Skolmen, Ingar Helge Gimle, Stig Henrik Hoff,,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Acción, Thriller,120
No es otra estúpida película americana,2001,Estados Unidos,Ingles,Joel Gallen,5,Columbia Pictures,G,Chyler Leigh, Chris Evans, Jaime Pressly, Mia Kirshner, Eric Christian Olsen, Randy Quaid,Mejor Actriz Principal,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",Comedia,,120
Anarchy: La noche de las bestias,2014,Estados Unidos,Ingles,James DeMonaco,5.7,DreamWorks Pictures,A,Frank Grillo, Carmen Ejogo, Zach Gilford, Kiele Sanchez, Zoe Borde, Justina Machado,Mejor Actriz Principal,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Acción, Terror,
La herida,2013,España,Español,Fernando Franco,6,Lucasfilm,G,Marián Álvarez, Rosana Pastor, Manolo Solo, Ramón Barea, Andrés Gertrudix, Luis Callejo,,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Drama,,90
Devolver al remitente,2015,Estados Unidos,Ingles,Fouad Mikati,4,Marvel Studios,NR,Rosamund Pike, Shiloh Fernandez, Nick Nolte, Camryn Manheim, Alexi Wasser, Rumer Willis,Mejor Actor Principal,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Thriller,,90
Welcome to the Jungle,2007,Estados Unidos,Ingles,Jonathan Hensleigh,3.9,Canal,NR,D. Kevin Epps, Sandy Gardiner, Callard Harris, John Leonetti, Rich Morris,,,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.,Terror,,
L'amour dure trois ans,2011,Francia,Frances,Frédéric Beigbeder,5.3,Regency Enterprises,G,Louise Bourgoin, Gaspard Proust, Joey Starr, Jonathan Lambert, Frédérique Bel, Elisa Sednaoui,Mejor Guión,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Romance,,90
Needle,2010,Australia,Ingles,John V. Soto,3.5,Columbia Pictures,G,Jane Badler, Jessica Marais, Michael Dorman, Travis Fimmel, Trilby Glover, Tahyna Tozzi,Mejor Director,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",Intriga, Terror,
Prometo no enamorarme,2017,México,Español,Alejandro Sugich,5.6,Lionsgate Films,NC-17,Natalia Varela, Alfonso Dosal, Pedro De Tavira, Alfonso André,,,Mejor Actor Principal,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,Romance,,
Touched With Fire,2015,Estados Unidos,Ingles,Paul Dalio,6,Pixar Animation Studios,MA,Katie Holmes, Luke Kirby, Christine Lahti, Griffin Dunne, Bruce Altman, Alex Manette,,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Romance,,
Maldito amor,2014,Chile,Español,"Sebastián Badilla, Gonzalo Badilla",1.8,Toho Company,NC-17,Sebastián Badilla, Luis Alarcón, Raquel Calderon, Stephanie Méndez, Trinidad de la Noi,,,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,Terror, Romance,120
Navidad y otras fiestas a evitar,2014,Estados Unidos,Ingles,Tristram Shapeero,4.3,Warner Bros. Pictures,R,Joel McHale, Robin Williams, Lauren Graham, Pierce Gagnon, Wendi McLendon-Covey, Candice Bergen,Mejor Guión,Proin at turpis a pede posuere nonummy. Integer non velit.,Comedia,,150
Walled In,2009,Canadá,Ingles,Gilles Paquet-Brenner,4,Miramax,NR,Mischa Barton, Darla Biccum, Cameron Bright, Shannon Jardine, Noam Jenkins, Sophi Knight,Mejor Actriz Principal,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Terror, Thriller,150
ZMD: Zombies of Mass Destruction,2009,Estados Unidos,Ingles,Kevin Hamedani,4.2,Paramount Pictures,PG,Janette Armand, Doug Fahl, Cooper Hopkins, Bill Johns, Cornelia Moore, Russell Hodgkinson,Mejor Banda Sonora Original,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Terror, Comedia,120
Clinical,2017,Estados Unidos,Ingles,Alistair Legrand,3.8,MGM Studios,NC-17,Vinessa Shaw, William Atherton, Aaron Stanford, Wilmer Calderon, Kevin Rahm, India Eisley,Mejor Película,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",Thriller,,90
The Shanghai Job,2017,China,Chino,Charles Martin,3.5,A24,NR,Orlando Bloom, Lei Wu, Simon Yam, Hannah Quinlivan, Lynn Hung, Jing Liang,Mejor Película,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,Acción,,120
Stag Night,2009,Estados Unidos,Ingles,Peter A. Dowling,4.4,Universal Pictures,PG-13,Kip Pardue, Vinessa Shaw, Breckin Meyer, Karl Geary, Scott Adkins,,Mejor Edición,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Terror,,
Una aventura extraordinaria,2012,Estados Unidos,Ingles,Ken Kwapis,5.2,Miramax,NR,Drew Barrymore, John Krasinski, Dermot Mulroney, Kristen Bell, Ted Danson, Vinessa Shaw,Mejor Actor Principal,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,Aventuras, Drama,
Oh Boy,2012,Alemania,Aleman,Jan Ole Gerster,6.8,Columbia TriStar Motion Picture Group,NC-17,Tom Schilling, Marc Hosemann, Friederike Kempter, Justus von Dohnanyi, Michael Gwisdek, Katharina Schüttler,Mejor Película,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,Drama, Comedia,90
Blood Car,2007,Estados Unidos,Ingles,Alex Orr,4.9,Walt Disney Pictures,NC-17,Mike Brune, Anna Chlumsky, Katie Rowlett, Matt Hutchinson, Marla Malcolm, Bill Szymanski,,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,Terror,,120
La clase de piano,2018,Francia,Frances,Ludovic Bernard,5.5,Warner Bros. Pictures,PG,Jules Benchetrit, Lambert Wilson, Kristin Scott Thomas, Karidja Touré, André Marcon, Michel Jonasz,Mejor Actor de Reparto,Suspendisse potenti. Nullam porttitor lacus at turpis.,Comedia,,90
The Hospital,2013,Estados Unidos,Ingles,"Daniel E. Taylor, Tommy Golden",1.8,Walt Disney Pictures,PG-13,Daniel E. Taylor, David Polk, G. Larry Butler, Jim O'Rear, John Dugan, Jason Crowe,Mejor Película,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Terror,,
